species,subpopulation,presence,data_type,tag_id,mld,PPupper200m,sla,sst,sst_sd,bathy,bathy_sd
Blue Whale,N Pacific,1,opportunistic sighting,1,11.1324764887492,34.6407204733955,-0.0210725398833996,15.7457231998444,1.0959050747437,-461.078844100134,392.634915997298
Blue Whale,N Pacific,1,opportunistic sighting,1,10.7184546210549,28.5758472624279,0.0121405707322992,16.8837272326152,1.30356811095386,-544.57247240686,415.138078510272
Blue Whale,N Pacific,1,opportunistic sighting,1,10.7184546210549,28.5758472624279,0.0121405707322992,16.8837272326152,1.30356811095386,-544.57247240686,415.138078510272
Blue Whale,N Pacific,1,opportunistic sighting,1,12.6067016501176,45.5925037595961,-0.0270484057052628,14.4664876574562,1.03014403241926,-462.105884190295,342.888524399365
Blue Whale,N Pacific,1,opportunistic sighting,1,11.1659605026245,21.3901072050396,0.0438959727374216,16.7521495819092,1.25237304059143,-451.485904310732,356.064032465531
Blue Whale,N Pacific,1,opportunistic sighting,1,10.8204768498739,22.1151744365692,0.0353403870481998,16.902323809537,1.19298390750171,-489.051350588395,382.818841733205
Blue Whale,N Pacific,1,opportunistic sighting,1,12.4220748155013,15.3195169282996,0.013229172400948,17.3439722890439,1.24766767796795,-872.586571718514,245.262415596849
Blue Whale,N Pacific,1,opportunistic sighting,1,10.6981472535567,2.75419774380597,0.049507184673778,19.3839771097357,0.927218513740294,-891.753223089356,241.904535203258
Blue Whale,N Pacific,1,opportunistic sighting,1,11.0905649765678,2.14005680187889,0.0443179519523097,27.2709270974864,0.311459717952568,-2885.10145795167,528.44482431351
Blue Whale,N Pacific,1,opportunistic sighting,1,13.7448387742043,9.00154956181844,-0.0783279998227954,16.5836069583893,0.60742910882321,-496.928592862866,533.57243639035
Blue Whale,N Pacific,1,opportunistic sighting,1,12.1904422358463,23.3086915769075,0.0302561965317612,12.7702612195696,0.510573389844124,-1230.93220359216,928.939534829453
Blue Whale,N Pacific,1,opportunistic sighting,1,11.8312435150146,22.3797487112192,0.0394394739874099,13.4458864688873,0.528836463591313,-1151.63386849562,1118.40965066187
Blue Whale,N Pacific,1,opportunistic sighting,1,14.1735495158604,23.6729403103099,0.0706394428217953,12.3563605546951,0.702903835926408,-1595.38054915381,1297.02799841173
Blue Whale,N Pacific,1,opportunistic sighting,1,11.3696839014689,31.2742037773132,0.0648327083326876,16.1520939469337,0.964550454551293,-1313.28195282877,853.365022581602
Blue Whale,N Pacific,1,opportunistic sighting,1,11.694096326828,41.1262921553392,0.00101736848132293,12.3497671830027,0.430923589677874,-1036.08255373889,1022.66498170516
Blue Whale,N Pacific,1,opportunistic sighting,1,11.8407899220785,33.6698540449142,0.0720301954185261,15.227767719942,0.493435068465541,-1293.07611411599,922.957080759594
Blue Whale,N Pacific,1,opportunistic sighting,1,11.3032223757576,36.9105469198788,0.0330232976314922,13.5857632425096,0.498752366399479,-1368.2541368945,840.732482159258
Blue Whale,N Pacific,1,opportunistic sighting,1,10.9282586915152,52.7113988399506,-0.00463024190442714,12.5590382036955,0.906802632096131,-931.208134302142,994.859702743981
Blue Whale,N Pacific,1,opportunistic sighting,1,18.7432181109553,18.7334205082485,0.0217630556144286,12.3341732439787,0.358416049245446,-1385.84714577868,1244.2170877787
Blue Whale,N Pacific,1,opportunistic sighting,1,10.8889159119647,38.1251565842401,0.0508588707695405,15.1243234302687,0.858859546459842,-1385.84714577868,1244.2170877787
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3901413480441,34.6820736839658,0.0399871793790505,14.6825985717773,0.699549510630767,-1090.18852951533,1082.51513228479
Blue Whale,N Pacific,1,opportunistic sighting,1,14.9196145223535,35.278998041153,0.0367931449630608,13.7087031602859,0.69182352797544,-1007.54988052894,1079.97042996766
Blue Whale,N Pacific,1,opportunistic sighting,1,10.8674144744873,33.9732914425078,-0.00418478258728536,14.2821413952371,0.744956413735071,-1344.38946217258,1082.70059132657
Blue Whale,N Pacific,1,opportunistic sighting,1,15.2859382629395,14.8775136130197,0.0451252457645276,16.6171785022901,0.536140753079355,-966.31602531454,831.925040204678
